id,username,created_at,lng,lat,text
1531742896843476992,KateMcKinnonAUS,Tue May 31 21:02:19 +0000 2022,149.1297825,-35.3139795,#Ghostbusters Answer The Call Day July 15 2022 #GBATC #answerthesecondcall #Ghostbusters2016 #GhostbustersATC… https://t.co/S72wLsoMwm
1531742904557117440,CuriiousSoul,Tue May 31 21:02:21 +0000 2022,150.931975,-33.848244,Happy first day of winter ❄️
1531742911699636224,DunkenKBliths,Tue May 31 21:02:23 +0000 2022,138.61115999999998,-35.000766999999996,@mortenlund89 Why the heck wasn't it already. ..
1531742915453947905,pntaylor,Tue May 31 21:02:24 +0000 2022,149.1297825,-35.3139795,@POPeART_ That's just amazing https://t.co/gmSGy7tKwU
1531742921036537856,joffaburger,Tue May 31 21:02:25 +0000 2022,153.3693615,-27.9542215,@PaulFMcNamee This will test your philosophy... King fh v Queen bh..? Outcome? Check or check mate! No pun intended lol 😂
1531742950161784832,PHILIPDOWLING4,Tue May 31 21:02:32 +0000 2022,150.931975,-33.848244,@frankjotzo Matt Kean will make me vote Labor.
1531743029618700288,Leahym34Some,Tue May 31 21:02:51 +0000 2022,148.0071175,-35.7739785,"@SewerRatt64 @SkyNewsAust I think ""former reality TV star"" speaks of a profound lack of talent."
1531743062355230720,SCalliss,Tue May 31 21:02:59 +0000 2022,137.58313900000002,-32.9963445,@Maxieat310 I'll look him up
1531743111717978112,krispypapa,Tue May 31 21:03:10 +0000 2022,145.0531355,-37.9725665,@AgnesGarbowska @AwesomeCon @DigiDorables Safe travels and have a great con weekend Agnes 👍
1531743114456465409,paulfenwick,Tue May 31 21:03:11 +0000 2022,115.9283185,-32.1501005,@wayneahill1 @Soulchaser69 @pgjackson1 @kennylanglea @BenJBurford @marcusbella @blueruss1875 @charlatan109 I can't… https://t.co/jN6Gzcl5tj
1531743127048159232,StephanieBashi2,Tue May 31 21:03:14 +0000 2022,145.0531355,-37.9725665,This is Great news. Looking forward to seeing real action and impact.
1531743188439941121,dionbp,Tue May 31 21:03:29 +0000 2022,130.8415,-12.42821,"I'm at Parap Public Pool in Parap, NT https://t.co/r3wfyEXh4Y"
1531743197277442049,ElisaTelisa,Tue May 31 21:03:31 +0000 2022,152.9931965,-27.382143,@kattesch @novonordiskfond Super congrats Katrine!! 👏 👏🥂🍾
1531743212775555072,krispypapa,Tue May 31 21:03:34 +0000 2022,145.0531355,-37.9725665,"@AgnesGarbowska @AwesomeCon @DigiDorables Oh, and I’d like to request a Wonder Woman sketch pls 😝"
1531743253988802560,hook_gc,Tue May 31 21:03:44 +0000 2022,153.074157,-26.6064825,@muz19751 @wordsbymt How far is doohan away??
1531743260045361152,jameswhelan42,Tue May 31 21:03:46 +0000 2022,150.931975,-33.848244,@KenVeksler @weinzworld It’s the future of payments. Banks destroying their own credit card businesses to launch this stuff.
1531743290168844288,srigsri23,Tue May 31 21:03:53 +0000 2022,152.9931965,-27.382143,@michelebusby And the other way around: did you do multiple test correction?
1531743305478057984,pastadisasta,Tue May 31 21:03:57 +0000 2022,138.4834185,-35.269994499999996,"@rachsyme Too easy, just total beach vibes. https://t.co/owTQgDE4Tc"
1531743337669009408,ripperriver,Tue May 31 21:04:04 +0000 2022,150.931975,-33.848244,@Birdy10Daryl @LynneMcGranger There's me!!🤣
1531743356048797696,ara_glm,Tue May 31 21:04:09 +0000 2022,150.931975,-33.848244,"@runclepennybags @WordDoc0 @cheezuzcrust Please give me a break, it still perpetuates this wrong, generalisation to… https://t.co/n5Zt0xDPR8"
1531743356358823936,crackerscraigo,Tue May 31 21:04:09 +0000 2022,145.0531355,-37.9725665,When I told my barista his coffee is like a warm hug I didn’t actually want one #ManHug
1531743382846177282,nickystevo,Tue May 31 21:04:15 +0000 2022,152.892877,-25.287069000000002,Thank you #PierVillageCafe for my yummy hot cappuccino on the way home this morning 👌🏻✌🏻💕😃 #herveybay #happiness… https://t.co/mUbPVax9Zb
1531743388684279808,BeachGirlJan,Tue May 31 21:04:16 +0000 2022,153.3693615,-27.9542215,Covid has almost gone.  Flu is back.  More vaxxes.
1531743408284651520,jason_sheldrake,Tue May 31 21:04:21 +0000 2022,145.7169445,-16.880526500000002,"@RyanWiggins1982 Sorry, mate told me it was Brownsville cup"
1531743501985009665,BradleyWDeacon,Tue May 31 21:04:43 +0000 2022,150.931975,-33.848244,So glad my daughter is cyber security savvy. Georgia messaged me if this was me trying to friend her on Snapchat. T… https://t.co/qUChBFU4uZ
1531743516916756480,Zett_Jukassa,Tue May 31 21:04:47 +0000 2022,152.9931965,-27.382143,Awww yeah there’s a proper #Reva hashtag.The perfect antagonist to our beloved broken forlorn golden Jedi #Kenobi… https://t.co/G96Aq0W7PK
1531743567789838336,pntaylor,Tue May 31 21:04:59 +0000 2022,149.1297825,-35.3139795,@Scorptec @evilZardoz You have a compartment... https://t.co/jlvV0ooAtA
1531743592384897025,strikeoilnow,Tue May 31 21:05:05 +0000 2022,115.9283185,-32.1501005,A report released by the UK government has confirmed that 9 out of every 10 deaths related to COVID-19 are found in… https://t.co/UqwehhGs7C
1531743600694149121,JaneoOakley,Tue May 31 21:05:07 +0000 2022,151.68970050000001,-32.976663,"@Christi49154364 @AdMarketingAust If she can't get an electable spot on her own senate ticket, and she can't win a… https://t.co/KsBkGa4zEU"
1531743607354544131,Taliesyne,Tue May 31 21:05:09 +0000 2022,153.3921,-28.0183,"Just posted a photo @ Gold Coast, Queensland https://t.co/ZgzHNkvapl"
1531743635925897216,newlightvisuals,Tue May 31 21:05:15 +0000 2022,150.8589055,-34.4399715,@BrandonVerdura Love this mate! Education and beauty all rolled into one body of work. ✊🏻
1531743664308793344,BeachGirlJan,Tue May 31 21:05:22 +0000 2022,153.3693615,-27.9542215,@simongue6 Faaaark no. Freezey little fingers off.
1531743682604728320,Gazrj01,Tue May 31 21:05:27 +0000 2022,152.9931965,-27.382143,Wordle 347 5/6⬜🟨🟨🟨⬜🟨🟨🟨🟨⬜⬜🟩🟩🟩🟩⬜🟩🟩🟩🟩🟩🟩🟩🟩🟩
1531743703689068544,KateDaytropick1,Tue May 31 21:05:32 +0000 2022,146.75523700000002,-19.296802,"@james_powditch @deniseshrivell @billybragg Wonderful, thoughtful and a certain strength to this man all captured so beautifully."
1531743722865836032,Locky_Miles,Tue May 31 21:05:36 +0000 2022,135.0021465,-32.0293745,@AppleSlipper DUDE! FRONTIERS GAMEPLAY!!!
1531743747440246785,JimAitk71378210,Tue May 31 21:05:42 +0000 2022,150.931975,-33.848244,@MonicaHuldt I'm not greedy I like both sweetheart 😘 😌 💕 ☺️ ♥️
1531743772244971520,francis_alana,Tue May 31 21:05:48 +0000 2022,138.5330415,-34.6144395,"@Raymartin55 Grey, they want to dump the waste there, the testing was done there full cycle you know it makes sense😉"
1531743779236941825,PeterWilsonTmba,Tue May 31 21:05:50 +0000 2022,145.774064,-19.160037,@PMalinauskasMP Please define the “climate emergency” also please define your proposed policy changes to deal with… https://t.co/3DG67Ojugh
1531743784186302465,WongyMark1,Tue May 31 21:05:51 +0000 2022,151.20797,-33.86751,"Just posted a photo @ Sydney, Australia https://t.co/hvMsyXwzR0"
1531743809427496960,JonnyStofko,Tue May 31 21:05:57 +0000 2022,151.20705,-33.86389,What is ISD1MF?From my upcoming book about habits. #healthylifestyle #habitsofhealth #mindset #dailyhabits… https://t.co/OCobYfD0fG
1531743814788218882,PeterCawdron,Tue May 31 21:05:58 +0000 2022,152.9931965,-27.382143,"@LukeBartolo1 @CPP73 If you can get a traditional publishing deal, great. If not, go indie with Amazon KDP. Most im… https://t.co/819POvDRgp"
